MSN ,TYPE,REGISTRATION,AIRLINE,FIRSTFLIGHT(AGE)
266,A388,JA383A,All Nippon Airways,Oct 2019 (Brand new)
263,A388,JA382A,All Nippon Airways,Dec 2018 (1 year)
262,A388,JA381A,All Nippon Airways,Sep 2018 (1 year)
261,A388,A6-EVL,Emirates,Jul 2019 (Brand new)
260,A388,A6-EVK,Emirates,Jun 2019 (Brand new)
259,A388,A6-EVJ,Emirates,Feb 2019 (1 year)
258,A388,A6-EVI,Emirates,Apr 2019 (Brand new)
257,A388,A6-EVH,Emirates,Jul 2018 (1 year)
256,A388,A6-EVG,Emirates,Oct 2018 (1 year)
255,A388,9V-SKZ,Singapore Airlines,Feb 2018 (1 year)
254,A388,A7-APJ,Qatar Airways,Dec 2017 (2 years)
253,A388,9V-SKY,Singapore Airlines,Jan 2018 (2 years)
252,A388,A6-EVF,Emirates,Jul 2018 (1 year)
251,A388,9V-SKW,Singapore Airlines,Sep 2017 (2 years)
250,A388,A6-EVE,Emirates,May 2018 (1 year)
249,A388,A6-EVD,Emirates,Apr 2018 (1 year)
248,A388,A6-EVC,Emirates,Mar 2018 (1 year)
247,A388,9V-SKV,Singapore Airlines,Jun 2017 (2 years)
244,A388,A6-EUZ,Emirates,Jun 2017 (2 years)
243,A388,9V-SKU,Singapore Airlines,Mar 2017 (2 years)
242,A388,A6-EUY,Emirates,Apr 2017 (2 years)
241,A388,A6-EUX,Emirates,Mar 2017 (2 years)
240,A388,A6-EUW,Emirates,May 2017 (2 years)
239,A388,A6-EUV,Emirates,Feb 2017 (2 years)
238,A388,A6-EUU,Emirates,Jan 2017 (3 years)
237,A388,A6-APJ,Etihad Airways,Jan 2017 (3 years)
236,A388,A6-EUT,Emirates,Jan 2017 (3 years)
235,A388,A7-API,Qatar Airways,Jul 2017 (2 years)
234,A388,A6-EUS,Emirates,Feb 2017 (3 years)
233,A388,A6-API,Etihad Airways,Oct 2016 (3 years)
232,A388,A6-EUR,Emirates,Oct 2016 (3 years)
231,A388,HL7641,Asiana Airlines,Aug 2016 (3 years)
230,A388,HL7640,Asiana Airlines,May 2016 (3 years)
229,A388,A6-EUQ,Emirates,Sep 2016 (3 years)
228,A388,A6-EUP,Emirates,Sep 2016 (3 years)
227,A388,A6-EUO,Emirates,Jul 2016 (3 years)
226,A388,A6-EUN,Emirates,Jul 2016 (3 years)
225,A388,A6-EUM,Emirates,Jun 2016 (3 years)
224,A388,A6-EUL,Emirates,Jul 2016 (3 years)
223,A388,A6-EUK,Emirates,Jun 2016 (3 years)
222,A388,A6-EUJ,Emirates,Jun 2016 (3 years)
221,A388,A6-EUI,Emirates,May 2016 (3 years)
220,A388,A6-EUH,Emirates,May 2016 (3 years)
219,A388,A6-EUG,Emirates,Apr 2016 (3 years)
218,A388,A6-EUF,Emirates,Apr 2016 (3 years)
217,A388,A6-EUE,Emirates,Mar 2016 (3 years)
216,A388,A6-EUD,Emirates,Mar 2016 (3 years)
215,A388,G-XLEL,British Airways,Feb 2016 (3 years)
214,A388,A6-EUC,Emirates,Feb 2016 (3 years)
213,A388,A6-EUB,Emirates,Feb 2016 (4 years)
211,A388,A6-EUA,Emirates,Jan 2016 (4 years)
210,A388,A6-EOZ,Emirates,Jan 2016 (4 years)
209,A388,A6-EOY,Emirates,Dec 2015 (4 years)
208,A388,A6-EOX,Emirates,Nov 2015 (4 years)
207,A388,A6-EOW,Emirates,Oct 2015 (4 years)
206,A388,A6-EOV,Emirates,Sep 2015 (4 years)
205,A388,A6-EOU,Emirates,Aug 2015 (4 years)
204,A388,A6-EOT,Emirates,Jul 2015 (4 years)
203,A388,A6-EOS,Emirates,Jul 2015 (4 years)
202,A388,A6-EOR,Emirates,Jun 2015 (4 years)
201,A388,A6-EOQ,Emirates,Jun 2015 (4 years)
200,A388,A6-EOP,Emirates,May 2015 (4 years)
199,A388,A6-APH,Etihad Airways,Dec 2015 (4 years)
198,A388,A6-APG,Etihad Airways,Nov 2015 (4 years)
197,A388,A7-APH,Qatar Airways,Dec 2016 (3 years)
195,A388,A6-APF,Etihad Airways,Oct 2015 (4 years)
194,A388,G-XLEK,British Airways,Sep 2015 (4 years)
193,A388,A7-APG,Qatar Airways,Jun 2016 (3 years)
192,A388,G-XLEJ,British Airways,Jun 2015 (4 years)
191,A388,A6-APE,Etihad Airways,May 2015 (4 years)
190,A388,A6-EOO,Emirates,Apr 2015 (4 years)
189,A388,A7-APF,Qatar Airways,Apr 2015 (4 years)
188,A388,A6-EON,Emirates,Mar 2015 (4 years)
187,A388,A6-EOM,Emirates,Mar 2015 (4 years)
186,A388,A6-EOL,Emirates,Mar 2015 (4 years)
184,A388,A6-EOK,Emirates,Feb 2015 (4 years)
183,A388,HL7635,Asiana Airlines,Feb 2015 (5 years)
182,A388,A6-EOJ,Emirates,Feb 2015 (5 years)
181,A388,A7-APE,Qatar Airways,Jan 2015 (5 years)
180,A388,A6-APD,Etihad Airways,Apr 2014 (5 years)
179,A388,HL7634,Asiana Airlines,Dec 2014 (5 years)
178,A388,A6-EOI,Emirates,Dec 2014 (5 years)
177,A388,D-AIMN,Lufthansa,Nov 2014 (5 years)
176,A388,A6-APC,Etihad Airways,Nov 2014 (5 years)
175,A388,D-AIMM,Lufthansa,Oct 2014 (5 years)
174,A388,A6-EOH,Emirates,Nov 2014 (5 years)
173,A388,G-XLEI,British Airways,Sep 2014 (5 years)
172,A388,A6-EOG,Emirates,Oct 2014 (5 years)
171,A388,A6-EOF,Emirates,Aug 2014 (5 years)
170,A388,A6-APB,Etihad Airways,Sep 2014 (5 years)
169,A388,A6-EOE,Emirates,Jul 2014 (5 years)
168,A388,A6-EOD,Emirates,Jul 2014 (5 years)
167,A388,A6-EVA,Emirates,Oct 2017 (2 years)
166,A388,A6-APA,Etihad Airways,Jun 2014 (5 years)
165,A388,A6-EOC,Emirates,Jun 2014 (5 years)
164,A388,A6-EOB,Emirates,Jun 2014 (5 years)
163,A388,G-XLEH,British Airways,May 2014 (5 years)
162,A388,A6-EVB,Emirates,Apr 2014 (5 years)
161,A388,G-XLEG,British Airways,Apr 2014 (5 years)
160,A388,A7-APD,Qatar Airways,May 2014 (5 years)
159,A388,A6-EOA,Emirates,Apr 2014 (5 years)
158,A388,A6-EEZ,Emirates,Mar 2014 (5 years)
157,A388,A6-EEY,Emirates,Mar 2014 (5 years)
156,A388,HL7628,Korean Air,Mar 2014 (5 years)
155,A388,HL7626,Asiana Airlines,Feb 2014 (5 years)
154,A388,A6-EEX,Emirates,Feb 2014 (5 years)
153,A388,A6-EEW,Emirates,Jan 2014 (6 years)
152,A388,HL7625,Asiana Airlines,Dec 2013 (6 years)
151,A388,G-XLEF,British Airways,Jan 2014 (6 years)
150,A388,A6-EEV,Emirates,Dec 2013 (6 years)
149,A388,D-AIML,Lufthansa,Dec 2013 (6 years)
148,A388,G-XLEE,British Airways,Oct 2013 (6 years)
147,A388,A6-EEU,Emirates,Nov 2013 (6 years)
146,A388,D-AIMK,Lufthansa,Oct 2013 (6 years)
145,A388,A7-APC,Qatar Airways,Feb 2014 (6 years)
144,A388,G-XLED,British Airways,Aug 2013 (6 years)
143,A388,A7-APB,Qatar Airways,Nov 2013 (6 years)
142,A388,A6-EET,Emirates,Nov 2013 (6 years)
141,A388,A6-EEQ,Emirates,Oct 2013 (6 years)
140,A388,A6-EES,Emirates,Jul 2013 (6 years)
139,A388,A6-EER,Emirates,Jul 2013 (6 years)
138,A388,A6-EEP,Emirates,Jun 2013 (6 years)
137,A388,A7-APA,Qatar Airways,Sep 2013 (6 years)
136,A388,A6-EEO,Emirates,Jun 2013 (6 years)
135,A388,A6-EEN,Emirates,May 2013 (6 years)
134,A388,A6-EEM,Emirates,May 2013 (6 years)
133,A388,A6-EEL,Emirates,Apr 2013 (6 years)
132,A388,A6-EEK,Emirates,Feb 2013 (6 years)
131,A388,HS-TUF,Thai Airways,Apr 2013 (6 years)
130,A388,HL7627,Korean Air,Feb 2014 (5 years)
128,A388,HL7622,Korean Air,Mar 2013 (6 years)
127,A388,A6-EEJ,Emirates,Apr 2013 (6 years)
126,A388,HL7621,Korean Air,Jan 2013 (7 years)
125,A388,HS-TUE,Thai Airways,Jun 2013 (6 years)
124,A388,G-XLEC,British Airways,Mar 2013 (6 years)
123,A388,A6-EEI,Emirates,Jan 2013 (7 years)
122,A388,HS-TUD,Thai Airways,Oct 2012 (7 years)
121,A388,G-XLEB,British Airways,Feb 2013 (7 years)
120,A388,B-6140,China Southern Airlines,Sep 2012 (7 years)
119,A388,A6-EEH,Emirates,Jan 2013 (7 years)
117,A388,F-HPJJ,Air France,Jan 2014 (6 years)
116,A388,A6-EEG,Emirates,Dec 2012 (7 years)
115,A388,F-HPJI,Air France,Mar 2013 (6 years)
114,A388,9M-MNF,Malaysia Airlines,Oct 2012 (7 years)
113,A388,A6-EEF,Emirates,Nov 2012 (7 years)
112,A388,A6-EEE,Emirates,Aug 2012 (7 years)
111,A388,A6-EED,Emirates,Jul 2012 (7 years)
110,A388,A6-EEC,Emirates,Jul 2012 (7 years)
109,A388,A6-EEB,Emirates,May 2012 (7 years)
108,A388,A6-EEA,Emirates,Aug 2012 (7 years)
107,A388,A6-EDZ,Emirates,Apr 2012 (7 years)
106,A388,A6-EDY,Emirates,Apr 2012 (7 years)
