airline,code,aircrafts
21 Air,2I / CSB,2
9 Air,AQ / JYH,23
ABX Air,GB / ABX,15
ACE Belgium Freighters,X7 / FRH,1
Advanced Air,AN / WSN,3
Aegean Airlines,A3 / AEE,53
Aer Lingus,EI / EIN,68
AerCaribe,JK / ACL,5
Aero Contractors,NIG,3
Aero Mongolia,M0 / MNG,5
Aero-Dienst,ADN,9
Aerodynamics,4A / DYN,2
Aeroflot,SU / AFL,249
Aerolineas Argentinas,AR / ARG,56
AeroLogic,3S / BOX,12
Aeromar,VW / TAO,9
Aeromexico,AM / AMX,82
Aeromexico Connect,5D / SLI,57
Aeronaves TSM,VTM,36
Aerotranscargo,AEG,10
AeroUnion,6R / TNO,8
Aerovias DAP,V5 / DAP,7
Aerovis Airlines,VIZ,5
Afric Aviation,L8 / EKG,1
Africa World Airlines,AW / AFW,9
African Express Airways,XU / AXK,3
Afrijet Business Services,J7 / ABS,1
Afriqiyah Airways,8U / AAW,9
Air 1st Aviation,RUF,2
Air Albania,ZB / ABN,2
Air Algerie,AH / DAH,56
Air Alsie,6I / MMD,6
Air Antilles,3S / GUY,9
Air Antwerp,WP / ATW,1
Air Arabia,G9 / ABY,56
Air Astana,KC / KZR,38
Air Atlanta Icelandic,CC / ABD,4
Air Austral,UU / REU,9
Air Baltic,BT / BTI,39
Air Belgium,KF / ABB,4
Air Botswana,BP / BOT,9
Air Bucharest,BUR,1
Air Burkina,2J / VBW,4
Air Busan,BX / ABL,26
Air Cairo,SM / MSC,7
Air Caledonie,TY / TPC,5
Air Canada,AC / ACA,357
Air Canada Rouge,RV / ROU,66
Air Caraibes,TX / FWI,15
Air Care Alliance,CMF,1
Air Cargo Carriers,2Q / SNC,28
Air Cargo Global,CW / CCC,4
Air Century,Y2 / CEY,10
Air Changan,9H / CGN,13
Air Chathams,3C / CVA,7
Air China,CA / CCA,442
Air China Cargo,CAO,15
Air Choice One,3E / ACO,11
Air Corsica,XK / CCM,13
Air Cote d'Ivoire,HF / VRE,10
Air Creebec,YN / CRQ,21
Air Do,HD / ADO,16
Air Dolomiti,EN / DLA,15
Air Europa,UX / AEA,67
Air Flamenco,F4 / WAF,15
Air France,AF / AFR,293
Air Georgian,ZX / GGN,11
Air Greenland,GL / GRL,10
Air Guilin,GT / CGH,11
Air Hamburg,AHO,33
Air Hong Kong,LD / AHK,9
Air Horizont,HT / HAT,5
Air Iceland Connect,NY / FXI,5
Air India,AI / AIC,137
Air India Express,IX / AXB,25
Air Indus,I6 / MPK,3
Air Inuit,3H / AIE,32
Air Italy,IG / ISS,12
Air KBZ,K7 / KBZ,11
Air Kiribati,IK / AKL,2
Air Koryo,JS / KOR,9
Air Leap,LPA,4
Air Leisure,AL / ALD,3
Air Libya,7Q / TLR,6
Air Loyaute,RLY,1
Air Macau,NX / AMU,24
Air Madagascar,MD / MDG,4
Air Malta,KM / AMC,11
Air Manas,ZM / MBB,1
Air Mauritius,MK / MAU,13
Air Mediterranean,MV / MAR,3
Air Moldova,9U / MLD,8
Air Namibia,SW / NMB,10
Air New Zealand,NZ / ANZ,122
Air Niugini,PX / ANG,25
Air North,4N / ANT,13
Air Nunavut,BFF,14
Air Panama,7P / PST,10
Air Peace,P4 / APK,16
Air Rarotonga,GZ / RAR,4
Air Saint-Pierre,PJ / SPM,1
Air Senegal,HC / SZN,6
Air Seoul,RS / ASV,7
Air Seychelles,HM / SEY,4
Air Stork,2S / MSB,1
Air Sunshine,YI / RSI,8
Air Tahiti,VT / VTA,10
Air Tahiti Nui,TN / THT,4
Air Tanzania,TC / ATC,10
Air Tindi,8T / TIN,1
Air Transat,TS / TSC,56
Air Transport International,8C / ATN,28
Air Travel,A6 / OTC,12
Air Urga,3N / URG,14
Air Vanuatu,NF / AVN,3
Air X Charter,AXY,15
Air Zimbabwe,UM / AZW,5
Air-Taxi Europe,TWG,6
AirACT,9T / RUN,1
AirAsia,AK / AXM,246
AirAsia X,D7 / XAX,40
AirBlue,PA / ABQ,11
AirBridgeCargo Airlines,RU / ABW,19
Airbus,AIB,683
Airbus Transport International,4Y / BGA,8
Aircalin,SB / ACI,5
Airest,AEG,10
AirExplore,ED / AXE,5
Airfast Indonesia,AFE,5
AirGO Private Airline,XGO,6
Airkenya Express,P2 / XAK,5
Airlink,JAR,20
Airlink,4Z / LNK,65
Airnet,USC,23
Airnorth,TL / ANO,12
Airpac Airlines,APC,5
AirSERBIA,JU / ASL,21
Airsprint,ASP,15
AirSWIFT,T6 / ATX,4
AirTanker,9L / TOW,2
Airwing,NWG,8
Airwork,AWK,7
AIS Airlines,PNX,10
Alaska Airlines,AS / ASA,343
Alaska Central Express,KO / AER,11
